WardCode,WARDNAME,Population,NumberOfCrimes,CrimeRatePer100kPeople,RatePercentile,RateRank,HighCrimeRate,TotalCrimes,AvgMonthly,TrendChange,TrendPct,TrendSlope,Months,FirstMonth,LastMonth
N08000337,MALONE,5460.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000338,MEROK,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000339,MUSGRAVE,4836.0,1.0,20.678246,0.9177489177489178,39,True,1.0,1.0,0.0,0.0,0.0,1.0,2025-10,2025-10
N08000340,NEW LODGE,4748.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000341,ORANGEFIELD,5724.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000342,ORMEAU,,1.0,0.0,0.4512987012987013,47,True,1.0,1.0,0.0,0.0,0.0,1.0,2025-10,2025-10
N08000344,RAVENHILL,6486.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000345,ROSETTA,6820.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000346,SANDOWN,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000348,SHANKILL,4324.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000349,SHAW'S ROAD,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000352,STRANMILLIS,8355.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000353,SYDENHAM,5035.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000354,TURF LODGE,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000355,TWINBROOK,2609.0,2.0,76.65772,0.9956709956709957,3,True,2.0,2.0,0.0,0.0,0.0,1.0,2025-10,2025-10
N08000356,UPPER MALONE,4955.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000357,WATER WORKS,6584.0,1.0,15.188335,0.9025974025974026,46,True,1.0,1.0,0.0,0.0,0.0,1.0,2025-10,2025-10
N08000358,WINDSOR,7730.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000359,WOODSTOCK,5736.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000360,WOODVALE,4143.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000401,AGHADOWEY,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000402,ALTAHULLION,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000403,ATLANTIC,2380.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000404,BALLYCASTLE,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000405,BALLYKELLY,1733.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000406,BALLYMONEY EAST,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000407,BALLYMONEY NORTH,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000408,BALLYMONEY SOUTH,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000409,CASTLEROCK,3105.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000410,CHURCHLAND,2622.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000411,CLOGH MILLS,1938.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000412,COOLESSAN,1351.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000413,DERVOCK,1575.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000414,DRUMSURN,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000415,DUNDOOAN,3297.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000416,DUNGIVEN,2043.0,1.0,48.947624,0.9826839826839827,9,True,1.0,1.0,0.0,0.0,0.0,1.0,2025-10,2025-10
N08000417,DUNLOY,2416.0,1.0,41.390728,0.9761904761904762,12,True,1.0,1.0,0.0,0.0,0.0,1.0,2025-10,2025-10
N08000418,FEENY,2335.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000419,GARVAGH,3002.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000420,GIANT'S CAUSEWAY,,1.0,0.0,0.4512987012987013,47,True,1.0,1.0,0.0,0.0,0.0,1.0,2025-10,2025-10
N08000421,GREYSTEEL,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000422,GREYSTONE,1870.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000423,HOPEFIELD,3637.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000424,KILREA,2859.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000425,KINBANE,922.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000426,LOUGHGUILE and STRANOCUM,,2.0,0.0,0.4512987012987013,47,True,2.0,2.0,0.0,0.0,0.0,1.0,2025-10,2025-10
N08000427,LURIGETHAN,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000428,MACOSQUIN,2373.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000429,MAGILLIGAN,2488.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000430,MOUNTSANDEL,2020.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000431,PORTRUSH and DUNLUCE,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000432,PORTSTEWART,1716.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000433,QUARRY,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000434,RASHARKIN,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000435,ROESIDE,1435.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000436,ROUTE,1557.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000438,UNIVERSITY,2579.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000439,WATERSIDE,2654.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000440,WINDY HALL,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000501,ARTIGARVAN,2899.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000502,BALLYCOLMAN,1687.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000503,BALLYMAGROARTY,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000504,BRANDYWELL,2338.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000505,CARN HILL,2587.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000506,CASTLEDERG,2069.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000507,CAW,2781.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000508,CITY WALLS,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000509,CLAUDY,3513.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000510,CLONDERMOT,3014.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000511,CREGGAN,3544.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000512,CREGGAN SOUTH,2800.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000514,DRUMAHOE,,1.0,0.0,0.4512987012987013,47,True,1.0,1.0,0.0,0.0,0.0,1.0,2025-10,2025-10
N08000515,DUNNAMANAGH,2253.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000516,EBRINGTON,2646.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000517,EGLINTON,4441.0,1.0,22.51745,0.9264069264069265,35,True,1.0,1.0,0.0,0.0,0.0,1.0,2025-10,2025-10
N08000518,ENAGH,6277.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000519,FINN,2946.0,1.0,33.944332,0.9502164502164502,24,True,1.0,1.0,0.0,0.0,0.0,1.0,2025-10,2025-10
N08000520,FOYLE SPRINGS,3564.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000521,GALLIAGH,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000522,GLENDERG,2692.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000523,GLENELLY VALLEY,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000524,KILFENNAN,2864.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000525,LISNAGELVIN,3151.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000526,MADAM'S BANK,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000527,NEW BUILDINGS,2556.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000528,NEWTOWNSTEWART,2214.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000529,NORTHLAND,1455.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000530,PARK,2315.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000531,SHANTALLOW,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000533,SHERIFF'S MOUNTAIN,,1.0,0.0,0.4512987012987013,47,True,1.0,1.0,0.0,0.0,0.0,1.0,2025-10,2025-10
N08000534,SION MILLS,2336.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000536,SLIEVEKIRK,2525.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000538,STRABANE NORTH,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000540,VICTORIA,2433.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000602,BELCOO and GARRISON,2761.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000605,BOHO CLEENISH and LETTERBREEN,3544.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000609,COOLNAGARD,3438.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000611,DERRYGONNELLY,2901.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000612,DERRYLIN,2924.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000621,FLORENCE COURT and KINAWLEY,2890.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000623,GORTRUSH,2906.0,1.0,34.411564,0.9545454545454546,22,True,1.0,1.0,0.0,0.0,0.0,1.0,2025-10,2025-10
N08000625,KILLYCLOGHER,3235.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000629,MAGUIRESBRIDGE,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000634,ROSSLEA,2165.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000635,ROSSORRY,2544.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000637,STRULE,1534.0,1.0,65.18905,0.9891774891774892,6,True,1.0,1.0,0.0,0.0,0.0,1.0,2025-10,2025-10
