Cluster,Latitude,Longitude,CrimeCount
343,54.765724,-6.6447916,5
344,54.555565,-6.681025,29
345,54.463417,-6.077454,149
346,54.704353,-6.155192,7
347,54.51225,-5.686506,7
348,54.19209,-6.5770936,173
349,54.285793,-7.425614,6
350,54.957783,-7.355159,138
351,54.374744,-6.291334,59
352,54.363396,-6.7230234,5
353,54.41636,-7.1630697,133
354,54.666496,-5.7242904,14
355,54.522755,-6.6851277,15
356,55.00854,-6.968909,8
357,54.287365,-5.920862,5
358,55.122803,-6.601271,7
359,54.65784,-5.762094,28
360,54.460102,-5.4438653,115
361,54.204494,-6.2926655,53
362,54.215736,-6.41372,5
363,54.57327,-5.8382974,7
364,54.108944,-6.4779105,35
365,54.346424,-6.7783217,20
366,54.25761,-5.7960052,75
367,54.75159,-6.4599094,94
368,54.592625,-5.515763,17
369,55.185043,-6.599561,6
370,54.87425,-6.350768,36
371,54.467968,-6.371501,30
372,54.44747,-7.0110416,13
373,54.698696,-5.8516564,14
374,54.34046,-7.5547395,5
375,54.76062,-7.457006,36
376,54.53656,-5.5196,20
377,54.699177,-7.119348,6
378,54.344955,-5.735886,53
379,54.982193,-6.6887236,83
380,54.473732,-5.508384,11
381,54.176445,-6.365289,25
382,55.060585,-6.4494643,5
383,54.309483,-6.762059,7
384,54.807716,-5.8633833,5
385,54.20149,-6.36397,48
386,54.253075,-6.473587,20
387,54.60558,-6.722741,20
388,54.320034,-7.6836753,7
389,54.73734,-6.4361515,6
390,54.38042,-6.3090916,63
391,54.706123,-5.953315,18
392,54.540768,-6.2039776,13
393,54.730053,-6.528,15
394,54.37512,-7.690761,6
395,54.646534,-6.6156917,48
396,55.192272,-6.621637,10
397,54.203346,-6.181533,14
398,54.786865,-7.4880347,18
399,54.73171,-7.4570475,21
400,55.1915,-6.693952,7
401,55.07253,-6.653187,14
402,54.69318,-6.1920743,267
403,54.520325,-6.590704,9
404,54.169308,-6.507544,9
405,54.95642,-6.481682,103
406,54.661633,-6.904362,35
407,54.364925,-6.6498885,62
408,54.92904,-7.025977,13
409,54.357822,-5.752644,13
