WardCode,WARDNAME,Population,NumberOfCrimes,CrimeRatePer100kPeople,RatePercentile,RateRank,HighCrimeRate,TotalCrimes,AvgMonthly,TrendChange,TrendPct,TrendSlope,Months,FirstMonth,LastMonth,YoYCurrent,YoYPrior,YoYChange,AnnualizedCrimeRatePer100k,TotalHarm,HarmScorePer100k,RatingScore,RatingBand
N08000218,GRANSHA,5155,89,591.9357073576278,0.12337662337662338,406,False,89,2.5428571428571427,-0.6466214031684447,-58.823529411764696,-0.014127862590234918,35,2023-01,2025-11,3,2,50.0,591.9357073576278,124,824.719412498268,24.0,Stable
N08000219,HAMILTONSBAWN,4969,103,710.692004714947,0.19047619047619047,375,False,103,2.942857142857143,-0.20124773596297052,-27.27272727272728,-0.010090572755566306,35,2023-01,2025-11,2,1,100.0,710.692004714947,130,896.9899088635252,31.8,Stable
N08000220,KEADY,5243,154,1007.0570284188443,0.3225108225108225,314,False,154,4.4,-0.6993451586241972,-36.666666666666664,-0.01538666200792733,35,2023-01,2025-11,6,6,0.0,1007.0570284188443,185,1209.7763003732869,37.1,Stable
N08000221,KERNAN,5894,509,2978.331475107858,0.7987012987012987,94,False,512,14.628571428571428,-2.431851600497681,-70.49180327868852,-0.023619899266119734,35,2023-01,2025-11,7,16,-56.25,2978.331475107858,669,3891.6089000921033,65.6,Watch
N08000223,KNOCKNASHANE,4556,194,1459.927254483883,0.512987012987013,226,False,194,5.542857142857143,-2.194907813871817,-75.0,-0.041315911790528306,35,2023-01,2025-11,1,4,-75.0,1459.927254483883,333,2505.9576069233663,40.7,Stable
N08000224,LOUGH ROAD,5601,345,2111.867778712985,0.6883116883116883,145,False,345,9.857142857142858,-1.547342736416116,-41.269841269841265,-0.017103788489150326,35,2023-01,2025-11,11,10,10.0,2111.867778712985,493,3017.8284490014535,61.8,Watch
N08000225,LOUGHBRICKLAND,5711,160,960.5523175826099,0.2878787878787879,330,False,160,4.571428571428571,-0.7004027315706532,-46.15384615384615,-0.022218658081337925,35,2023-01,2025-11,5,6,-16.666666666666664,960.5523175826099,232,1392.8008604947845,30.7,Stable
N08000226,LOUGHGALL,5484,95,593.9356048765239,0.1277056277056277,404,False,95,2.7142857142857144,5.551115123125783e-17,1.1415868250708174e-14,-0.012922747508923329,35,2023-01,2025-11,1,2,-50.0,593.9356048765239,153,956.5489215379806,25.1,Stable
N08000227,MAGHERALIN,5368,216,1379.6040025548225,0.48484848484848486,239,False,216,6.171428571428572,0.062096373571783436,5.555555555555558,0.009131819642909322,35,2023-01,2025-11,3,3,0.0,1379.6040025548225,225,1437.0875026612732,61.1,Watch
N08000228,MAHON,5172,218,1445.1441829632086,0.5086580086580087,228,False,218,6.228571428571429,-1.095643207012116,-51.5151515151515,-0.020201429372986617,35,2023-01,2025-11,4,1,300.0,1445.1441829632086,326,2161.0871726881005,47.2,Stable
