WARDNAME,Geo_Code,Mid_Year_Ending,Gender,Age_Group,Population_Estimate
ENLER,95II10,2020,All persons,All ages,2550
GALWALLY,95II11,2020,All persons,All ages,2557
GILNAHIRK,95II12,2020,All persons,All ages,2458
GRAHAM'S BRIDGE,95II13,2020,All persons,All ages,2793
HILLFOOT,95II14,2020,All persons,All ages,2506
KNOCKBRACKEN,95II15,2020,All persons,All ages,3415
LISNASHARRAGH,95II16,2020,All persons,All ages,2185
LOWER BRANIEL,95II17,2020,All persons,All ages,2537
MINNOWBURN,95II18,2020,All persons,All ages,2389
MONEYREAGH,95II19,2020,All persons,All ages,3986
NEWTOWNBREDA,95II20,2020,All persons,All ages,2689
TULLYCARNET,95II21,2020,All persons,All ages,2421
UPPER BRANIEL,95II22,2020,All persons,All ages,2420
WYNCHURCH,95II23,2020,All persons,All ages,2307
AGIVEY,95JJ01,2020,All persons,All ages,2519
ATLANTIC,95JJ02,2020,All persons,All ages,2380
BALLYSALLY,95JJ03,2020,All persons,All ages,2580
CASTLEROCK,95JJ04,2020,All persons,All ages,3105
CENTRAL,95JJ05,2020,All persons,All ages,2564
CHURCHLAND,95JJ06,2020,All persons,All ages,2622
CROSS GLEBE,95JJ07,2020,All persons,All ages,2926
DUNDOOAN,95JJ08,2020,All persons,All ages,3297
DUNLUCE,95JJ09,2020,All persons,All ages,2001
GARVAGH,95JJ10,2020,All persons,All ages,3002
HOPEFIELD,95JJ11,2020,All persons,All ages,3637
KILREA,95JJ12,2020,All persons,All ages,2859
KNOCKLYNN,95JJ13,2020,All persons,All ages,3801
MACOSQUIN,95JJ14,2020,All persons,All ages,2373
MOUNT SANDEL,95JJ15,2020,All persons,All ages,2020
PORTSTEWART,95JJ16,2020,All persons,All ages,1716
RINGSEND,95JJ17,2020,All persons,All ages,2523
ROYAL PORTRUSH,95JJ18,2020,All persons,All ages,1854
STRAND,95JJ19,2020,All persons,All ages,3145
THE CUTS,95JJ20,2020,All persons,All ages,4146
UNIVERSITY,95JJ21,2020,All persons,All ages,2579
WATERSIDE,95JJ22,2020,All persons,All ages,2654
ARDBOE,95KK01,2020,All persons,All ages,2743
COAGH,95KK02,2020,All persons,All ages,2064
DUNNAMORE,95KK03,2020,All persons,All ages,2557
GORTALOWRY,95KK04,2020,All persons,All ages,2762
KILLYCOLPY,95KK05,2020,All persons,All ages,2821
KILLYMOON,95KK06,2020,All persons,All ages,1844
LISSAN,95KK07,2020,All persons,All ages,2160
MONEYMORE,95KK08,2020,All persons,All ages,2975
NEWBUILDINGS,95KK09,2020,All persons,All ages,2556
OAKLANDS,95KK10,2020,All persons,All ages,2335
OLDTOWN,95KK11,2020,All persons,All ages,2580
POMEROY,95KK12,2020,All persons,All ages,2335
SANDHOLES,95KK13,2020,All persons,All ages,1781
STEWARTSTOWN,95KK14,2020,All persons,All ages,2009
THE LOOP,95KK15,2020,All persons,All ages,3132
TULLAGH,95KK16,2020,All persons,All ages,2369
AGHAGALLON,95LL01,2020,All persons,All ages,5273
ANNAGH,95LL02,2020,All persons,All ages,3726
BALLYBAY,95LL03,2020,All persons,All ages,3086
BALLYORAN,95LL04,2020,All persons,All ages,3200
BLEARY,95LL05,2020,All persons,All ages,4409
