Month,Longitude,Latitude,Location,Crime type
2025-11,-5.911712,54.66756,On or near Abbots Cross,shoplifting
2025-11,-5.91472,54.673595,On or near Lacken Gardens,shoplifting
2025-11,-5.912098,54.668806,On or near Abbots Cross,vehicle-crime
2025-11,-5.918912,54.670747,On or near ,violent-crime
2025-11,-5.918498,54.669159,On or near East Way,other-crime
2025-11,-5.89047,54.685602,On or near Jordanstown Road,anti-social-behaviour
2025-11,-5.882077,54.685653,On or near ,anti-social-behaviour
2025-11,-5.887891,54.680615,On or near ,criminal-damage-arson
2025-11,-5.887891,54.680615,On or near ,violent-crime
2025-11,-5.887853,54.681046,On or near ,violent-crime
2025-11,-5.886277,54.683615,On or near Dalriada Drive,violent-crime
2025-11,-5.894692,54.688218,On or near Lenamore Crescent,violent-crime
2025-11,-6.216109,54.771317,On or near ,anti-social-behaviour
2025-11,-6.281851,54.749878,On or near Barnish Road,violent-crime
2025-11,-6.232438,54.736122,On or near Ballymena Road,violent-crime
2025-11,-6.24691,54.766277,On or near Oldwood Terrace,violent-crime
2025-11,-6.225009,54.730245,On or near Meadow Lands,anti-social-behaviour
2025-11,-6.194158,54.731748,On or near ,anti-social-behaviour
2025-11,-6.220507,54.730602,On or near Mull Road,anti-social-behaviour
2025-11,-6.215898,54.736221,On or near Angus Street,anti-social-behaviour
2025-11,-6.209411,54.724886,On or near ,anti-social-behaviour
2025-11,-6.218196,54.73055,On or near Avondale,anti-social-behaviour
2025-11,-6.222523,54.733138,On or near Arran Street,anti-social-behaviour
2025-11,-6.196334,54.731332,On or near ,anti-social-behaviour
2025-11,-6.220035,54.731466,On or near Islay Street,anti-social-behaviour
2025-11,-6.221514,54.731713,On or near Jura Street,anti-social-behaviour
2025-11,-6.226154,54.730702,On or near Meadow Lands,anti-social-behaviour
2025-11,-6.209613,54.728042,On or near Stiles Way,burglary
2025-11,-6.226154,54.730702,On or near Meadow Lands,criminal-damage-arson
2025-11,-6.187938,54.735779,On or near M2,criminal-damage-arson
2025-11,-6.194158,54.731748,On or near ,drugs
2025-11,-6.222832,54.732828,On or near Durnish Road,drugs
2025-11,-6.209411,54.724886,On or near ,drugs
2025-11,-6.215898,54.736221,On or near Angus Street,other-theft
2025-11,-6.215174,54.732904,On or near Glencraig Manor,violent-crime
2025-11,-6.215405,54.736834,On or near Angus Street,violent-crime
2025-11,-6.194158,54.731748,On or near ,violent-crime
2025-11,-6.197466,54.731016,On or near ,violent-crime
2025-11,-6.19963,54.729116,On or near Steeple Road,violent-crime
2025-11,-6.184973,54.732986,On or near Bush Road,violent-crime
2025-11,-6.219493,54.727173,On or near The Isles,violent-crime
2025-11,-6.224712,54.732424,On or near Meadow Lands,violent-crime
2025-11,-6.220507,54.730602,On or near Mull Road,violent-crime
2025-11,-6.215958,54.722494,On or near Ajax Court,violent-crime
2025-11,-6.218234,54.725097,On or near Parklands,other-crime
2025-11,-6.200493,54.722975,On or near Oaktree Drive,anti-social-behaviour
2025-11,-6.197672,54.721819,On or near Central Park,burglary
2025-11,-6.203265,54.721363,On or near Seacash Drive,burglary
2025-11,-6.208271,54.715184,On or near Kilbride Gardens,criminal-damage-arson
2025-11,-6.197672,54.721819,On or near Central Park,criminal-damage-arson
2025-11,-6.200627,54.717487,On or near Kilgreel Road,criminal-damage-arson
2025-11,-6.206768,54.722511,On or near Seacash Drive,criminal-damage-arson
2025-11,-6.21507,54.71833,On or near Vicarage Gardens,criminal-damage-arson
2025-11,-6.203265,54.721363,On or near Seacash Drive,criminal-damage-arson
2025-11,-6.203507,54.716587,On or near Portlee Walk,criminal-damage-arson
2025-11,-6.20631,54.716727,On or near Kilgreel Walk,drugs
2025-11,-6.204961,54.723374,On or near Parkhall Road,drugs
2025-11,-6.20282,54.722641,On or near Parkhall Road,other-theft
2025-11,-6.203775,54.723859,On or near Bush Park,other-theft
2025-11,-6.212749,54.718511,On or near Mount Oriel Court,other-theft
2025-11,-6.202648,54.724085,On or near Bush Park,other-theft
2025-11,-6.202491,54.721316,On or near Seacash Drive,violent-crime
2025-11,-6.20631,54.716727,On or near Kilgreel Walk,violent-crime
2025-11,-6.204568,54.71751,On or near Kilgreel Road,violent-crime
2025-11,-6.201755,54.719014,On or near Oriel Park,violent-crime
2025-11,-6.20398,54.723081,On or near Parkhall Road,violent-crime
2025-11,-6.212749,54.718511,On or near Mount Oriel Court,violent-crime
2025-11,-6.20171,54.718618,On or near Oriel Park,violent-crime
2025-11,-6.203507,54.716587,On or near Portlee Walk,other-crime
2025-11,-6.190843,54.720432,On or near Brookvale,anti-social-behaviour
2025-11,-6.195513,54.720125,On or near Carnbrock Drive,anti-social-behaviour
2025-11,-6.185606,54.713625,On or near Bleerick Drive,anti-social-behaviour
2025-11,-6.176595,54.711082,On or near Caulside Park,criminal-damage-arson
2025-11,-6.185606,54.713625,On or near Bleerick Drive,criminal-damage-arson
2025-11,-6.189587,54.718302,On or near Altmore Close,drugs
2025-11,-6.184808,54.717602,On or near Devon Square,drugs
2025-11,-6.197118,54.715432,On or near Oakdale Manor,other-theft
2025-11,-6.189125,54.716481,On or near Stiles Farm,other-theft
2025-11,-6.185606,54.713625,On or near Bleerick Drive,other-theft
2025-11,-6.194595,54.718063,On or near Rathkyle,other-theft
2025-11,-6.190992,54.713948,On or near Oaklands,violent-crime
2025-11,-6.185606,54.713625,On or near Bleerick Drive,violent-crime
2025-11,-6.191131,54.719529,On or near Andraid Close,violent-crime
2025-11,-6.191306,54.71875,On or near Ardnaglass Gardens,violent-crime
2025-11,-6.178836,54.709211,On or near Hawkswood,violent-crime
2025-11,-6.180527,54.709578,On or near ,violent-crime
2025-11,-6.186979,54.713816,On or near Bleerick Drive,violent-crime
2025-11,-6.195064,54.718007,On or near Rathkyle,violent-crime
2025-11,-6.195064,54.718007,On or near Rathkyle,other-crime
2025-11,-6.104159,54.699817,On or near Castleton,anti-social-behaviour
2025-11,-6.060371,54.665548,On or near Lylehill Road,anti-social-behaviour
2025-11,-6.107774,54.698463,On or near Ingledene,criminal-damage-arson
2025-11,-6.093105,54.703633,On or near Thornleigh,other-theft
2025-11,-6.051596,54.694725,On or near Lowtown Road,other-theft
2025-11,-6.134008,54.687936,On or near ,shoplifting
2025-11,-6.143656,54.698785,On or near ,violent-crime
2025-11,-6.037245,54.697359,On or near Carnbank,violent-crime
2025-11,-6.060206,54.713551,On or near Templepatrick Road,violent-crime
2025-11,-6.095151,54.703018,On or near The Village,violent-crime
2025-11,-6.435502,54.737062,On or near Gallagh Road,drugs
2025-11,-6.436281,54.737396,On or near Ballydugennan Villas,possession-of-weapons
2025-11,-6.419108,54.778455,On or near Roguery Road,violent-crime
2025-11,-6.433219,54.713755,On or near ,violent-crime
2025-11,-5.931351,54.655695,On or near ,anti-social-behaviour
2025-11,-5.929744,54.654688,On or near Longlands Court,anti-social-behaviour
2025-11,-5.922704,54.659033,On or near Glenmount Road,anti-social-behaviour
2025-11,-5.917791,54.654492,On or near Longwood Road,anti-social-behaviour
2025-11,-5.919652,54.652646,On or near Bawnmore Park,anti-social-behaviour
2025-11,-5.925555,54.653574,On or near ,anti-social-behaviour
2025-11,-5.912466,54.653179,On or near Sanda Road,anti-social-behaviour
2025-11,-5.92411,54.658815,On or near Glenmount Road,anti-social-behaviour
2025-11,-5.922651,54.653093,On or near Old Mill Drive,criminal-damage-arson
2025-11,-5.927178,54.65335,On or near Arthur Crescent,criminal-damage-arson
2025-11,-5.92717,54.65716,On or near Longlands Avenue,drugs
2025-11,-5.927135,54.656333,On or near Longlands Park,drugs
2025-11,-5.92411,54.658815,On or near Glenmount Road,other-theft
2025-11,-5.934838,54.656617,On or near Throne Terrace,other-theft
